RadioFreq,Sex,SexBin,event,RadioDays,enter,exit,Year,STUDYAREA,StudyAreaBin,Initial Fate,Final cause,PRECIP,PREVPRECIP,LIONREMOV,Lion Difference,air_coyote_density,ground_coyote_density,TotalCRD,Trap_Site,Calc_age,Capture_Date,Date_Fate,Est_Birth_Date,start of season,Trap_Site,KM_Fate,Personnel,Trap_Longitude,Trap_Latitude,Elevation,Fate_Longitude,Fate_Latitude,,,,,,,,,,,,,,,,s02
153.07,M,1,0,163,1.35,164.35,2001,56,1,shedcoll,.,2.83,3.01,2.2,0,0,0,0,SHIRLEY CRK,1.35,6/5/2001,11/15/2001,6/3/2001,5/19/2001,SHIRLEY CRK,1,GUNNELL,327636,4690766,,328120,4691072,,,,,,,,,,,,,,,,
153.15,M,1,0,129,3.9,132.9,2001,56,1,shedcoll,.,2.83,3.01,2.2,0,0,0,0,VAN KAMP CRK,3.9,6/7/2001,10/14/2001,6/3/2001,5/19/2001,VAN KAMP CRK,1,"GUNNELL, ELAM",329742,4696327,,326500,4688200,,,,,,,,,,,,,,,,
153.17,M,1,0,176,3.9,179.9,2001,56,1,FenceAcc,.,2.83,3.01,2.2,0,0,0,0,VAN KAMP CRK,3.9,6/7/2001,11/30/2001,6/3/2001,5/19/2001,VAN KAMP CRK,0,"GUNNELL, ELAM",329742,4696327,,326360,4685667,,,,,,,,,,,,,,,,
153.18,M,1,0,172,9,181,2001,56,1,Radiofai,.,2.83,3.01,2.2,0,0,0,0,WARD CYN,9,6/11/2001,11/30/2001,6/2/2001,5/19/2001,WARD CYN,1,"GUNNELL, YENGLIN",336279,4692678,,0,0,,,,,,,,,,,,,,,,
153.21,F,0,0,172,11.55,183.55,2001,56,1,Radiofai,.,2.83,3.01,2.2,0,0,0,0,WARD CYN,11.55,6/11/2001,11/30/2001,5/30/2001,5/19/2001,WARD CYN,1,GUNNELL,336279,4692678,,0,0,,,,,,,,,,,,,,,,
153.261,M,1,0,181,0,181,2001,56,1,ProbableCoyote,.,2.83,3.01,2.2,0,0,0,0,FLINT CANYON,0,6/2/2001,11/30/2001,6/2/2001,5/19/2001,FLINT CANYON,0,"MUIR,BARBER",344340,4702678,5360,340742,4702297,,,,,,,,,,,,,,,,
153.271,M,1,0,178,3.9,181.9,2001,56,1,Radiofai,.,2.83,3.01,2.2,0,0,0,0,FLINT CANYON,3.9,6/5/2001,11/30/2001,6/1/2001,5/19/2001,FLINT CANYON,1,"MUIR,BARBER",341349,4701450,5760,322408,4706519,,,,,,,,,,,,,,,,
153.29,M,1,0,177,1.35,178.35,2001,56,1,shedcoll,.,2.83,3.01,2.2,0,0,0,0,N. OF ASPEN CRK,1.35,6/6/2001,11/30/2001,6/4/2001,5/19/2001,N. OF ASPEN CRK,1,"SCHWARTZ,COMPTON",346189,4681864,,353027,4651186,,,,,,,,,,,,,,,,
153.297,F,0,0,177,1.35,178.35,2001,56,1,Radiofai,.,2.83,3.01,2.2,0,0,0,0,N. OF ASPEN CRK,1.35,6/6/2001,11/30/2001,6/4/2001,5/19/2001,N. OF ASPEN CRK,1,"SCHWARTZ, COMPTON",346189,4681864,,0,0,,,,,,,,,,,,,,,,
153.32,F,0,0,177,1.35,178.35,2001,56,1,Radiofai,.,2.83,3.01,2.2,0,0,0,0,PINE SPRINGS,1.35,6/6/2001,11/30/2001,6/4/2001,5/19/2001,PINE SPRINGS,1,"MEINTS,HOLLIE,SEGLUN",341378,4683701,,0,0,,,,,,,,,,,,,,,,
153.342,M,1,0,179,11.55,190.55,2001,56,1,shedcoll,.,2.83,3.01,2.2,0,0,0,0,SIDE CANYON,11.55,6/4/2001,11/30/2001,5/23/2001,5/19/2001,SIDE CANYON,1,"JUZA,HENDRICKS",342874,4694322,,343782,4694319,,,,,,,,,,,,,,,,
153.349,F,0,0,177,9,186,2001,56,1,Radiofai,.,2.83,3.01,2.2,0,0,0,0,SUBLETT TROUGHS,9,6/6/2001,11/30/2001,5/28/2001,5/19/2001,SUBLETT TROUGHS,1,"SCHWARTZ,GUNNELL",343231,4681008,,0,0,,,,,,,,,,,,,,,,
